group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,190132.0,ns,1142
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,434439.0,ns,2284
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,621658.0,ns,3426
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,905741.0,ns,4568
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,1053255.0,ns,5710
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,1226396.0,ns,6852
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,1481511.0,ns,7994
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,1857520.0,ns,9136
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,1914343.0,ns,10278
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,2259819.0,ns,11420
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,2602550.0,ns,12562
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,2570487.0,ns,13704
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,2816136.0,ns,14846
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3142153.0,ns,15988
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3192635.0,ns,17130
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3303572.0,ns,18272
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3498915.0,ns,19414
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3750385.0,ns,20556
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,3894576.0,ns,21698
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,4092882.0,ns,22840
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,4469548.0,ns,23982
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,4535826.0,ns,25124
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,4713590.0,ns,26266
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,5019730.0,ns,27408
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,5470533.0,ns,28550
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,5414372.0,ns,29692
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,5672601.0,ns,30834
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,5883483.0,ns,31976
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,6078366.0,ns,33118
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,6761077.0,ns,34260
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,6404008.0,ns,35402
